file_name,transcription
359-3.mp3,"  N o ,   n o t h i n g   l i k e   t h a t .   W e   h a v e   b e e n   a s k i n g   f o r   3 - 4   m o n t h s   a n d   got  no    r e p l y ,   so  w e   l e f t .   D i d   y o u   g e t   a n y   h e l p   f r o m   t h e   S A C I   d e p a r t m e n t ?   N o ,   n o t h i n g .   S o r r y   s i r ,   w e   a r e   s o r r y   f o r   t h e   i n c o n v e n i e n c e .   W e   a r e   c o m m e n t i n g   o n   y o u r   s i t u a t i o n   r e g a r d i n g   y o u r   s i t u a t i o n .   W e   w i l l   t r y   o u r   b e s t   t o   g e t   i t   r e s o l v e d .   Y o u   w i l l   b e   p r o v i d e d   w i t h   i t s   r e g u l a t i o n .   y o u   c a n   c o m m e n t   o n   y o u r"
374-1.mp3,"  H e l l o ,   I   h a d   j u d g e d .   Y o u r   d e c i s i o n   w a s   1 0 9 7 0 8 7 .   W h a t   w a s   y o u r   d e c i s i o n   r e g a r d i n g   t h i s ?"
374-3.mp3," to improve our service . OK sir . T h a n k   y o u . Thank you for your time , have a good day "
375-2.mp3,"  S i r ,   d i d   y o u   g o   f o r   t h i s   department ?   I   h a v e   f i l t e r e d   f o r   t h a t .   I   a m   v e r y   h a p p y   w i t h   t h a t .   S o ,   a r e   y o u   s a t i s f i e d   w i t h   t h i s   s o l u t i o n ?   Y e s ,   I   a m   s a t i s f i e d .   S o ,   i f   y o u   a r e   s a t i s f i e d ,   w h a t   w o u l d   y o u   l i k e   t o   g i v e   i n   t h e   r a t i n g ?   E x c e l l e n t .   S o ,   s i r ,   d o   y o u   w a n t   t o   g i v e   a n y   o t h e r   f e e d b a c k   o n   t h i s ?   E x c e l l e n t ."
376-1.mp3,"  H e l l o ,   I   a m   M e e r a   f r o m   D e p a r t m e n t   o f   A d m i n i s t r a t i v e   R e f o r m s   a n d   P u b l i c   G r i e v ances .   I   a m   t a l k i n g   t o   P a w a n   K u m a r .   Y e s ,   I   a m   s p e a k i n g .   S i r ,   t h i s   c a l l   i s   f o r   y o u   t o   k n o w   a b o u t   t h e   l e v e l   o f   s a t i s f a c t i o n   i n   r e l a t i o n   t o   t h e   G R I V E A N C E  N o .   0 0 0 4 3 0 .   S i r ,  i s  t h i s  t h e  r i g h t  t i m e  t o  t a l k  t o  y o u  ?   Y e s ,   y e s ,   a b s o l u t e l y .   T h a n k   y o u ,   s i r .   W e   w o u l d   l i k e   t o   k n o w   y o u r   a n s w e r s  o n  s o me  q u e s t i o n s .   C a n   y o u   t e l l   u s ?"
376-2.mp3,"  H o w   d i d   y o u   f e e l   a b o u t   t h e   p r o c e s s   o f   d o i n g   t h e   l o d g i n g  t h e  c o m p l a i n t ?   p o o r , a v e r a g e , g o o d , v e r y   g o o d .  P O O R . W h a t ?   S i r ,   d i d    y o u   h a v e   a n y   p r o b l e m   i n  f i l l i n g   c o m p l a i n t ?   I n   P M O P G ,   i t   i s   v e r y   d i f f i c u l t   t o   d o   l o d g e  c o m p l a i n t .   S o m e t i m e s   O T P   d o e s   n o t   c o m e ,   s o m e t i m e s   s o m e t h i n g ,   s o m e t i m e s   s o m e t h i n g .   T h e r e   i s   a   l o t   o f   d i f f i c u l t y   i n   d o i n g   l o d g i n g  c o m p l a i n t .   S i r ,   f o r   y o u r   c o n v e n i e n c e ,   d o   y o u   h a v e   a n y   a d d i t i o n a l   d o c u m e n t s   f o r   y o u r   c o n v e n i e n c e ?   N o ."
376-3.mp3,"  N o .   Y e s ,   o k   s i r .   D o   y o u   k n o w   t h a t   y o u r   c h a t    h a s   b e e n  c l o s e d ?   N o ,   I   d o n ' t   k n o w .   S o r r y   s i r ,   s o   t h e   r e p l y   y o u   h a v e   r e c e i v e d   f r o m   t h e   d e p a r t m e n t ,   a r e   y o u   s a t i s f i e d ?   N o ,   I   a m   n o t   a t   a l l   s a t i s f i e d .   S o r r y   s i r ,   c a n   y o u   t e l l   m e   w h y   y o u   a r e   n o t   s a t i s f i e d ?   T h e r e   i s   n o   s o l u t i o n   t o   t h e   p r o b l e m .   T h e y   k e e p   c l o s i n g   i t   l i k e   t h i s .   T h e y   h a v e   n o t   e v e n   m a d e   a   d e c i s i o n .   T h e y   j u s t   k e e p   c l o s i n g . S o r r y   S i r ,   y o u   h a v e   b e e n   g i v e n   t h i s   r e p l y   t h a t   t h e   c u s t o m e r  "
376-4.mp3,"  T h e n   a d v i c e   i s   r e l a t i v e l y   c o p y   a n d   c l o s e .   N o ,   n o ,   n o .   T h e y   w i l l   t a k e   i t   f r o m   t h e i r   o w n   m i n d   t h a t   w h a t   a d v i c e   t h e y   w i l l   g i v e .   N o t h i n g .   N o   a n s w e r   h a s   b e e n   g i v e n .   W h a t   i s   t h e   s u i t a b l e   a d v i c e   f o r   c u s t o m e r s ?   N o t h i n g .   I t   i s   u s e l e s s .   N o   s o l u t i o n   h a s   b e e n   g i v e n .   A n d   i t   i s   a l w a y s   t h e   h a b i t   o f   C P   G r a m   t h a t   t h e y   c l o s e   i t   h e r e .   W i t h o u t   a s k i n g   m e ,   w i t h o u t   i n f o r m i n g   m e ,   t h e y   c l o s e   i t   h e r e   w i t h o u t   a s k i n g   m e   o r   i n f o r m i n g   m e .   A n d   w e   h e l p   t h e   o n e   w h o   i s   l e a d i n g ."
376-5.mp3,"  S i r ,   w e   a r e   n o t   s a t i s f i e d   w i t h   y o u r   s u g g e s t i o n .   W h a t   r a t i n g   w o u l d   y o u   l i k e   t o   g i v e   t o   t h e   d e p a r t m e n t ?   T h e r e   i s   n o t h i n g   t o   g i v e .   S o r r y   s i r ,   w o u l d   y o u   l i k e   t o   f i l e   a n   a p p e a l   a g a i n ?   A b s o l u t e l y .   S i r ,   y o u   a r e   a l s o   w a s t i n g   y o u r   g r i e v a n c e   r e p o r t i n g .   W o u l d   y o u   l i k e   t o   g i v e   a n y   o t h e r   f e e d b a c k   t o   t h e   d e p a r t m e n t ?   N o ,   s i r ."
377-1.mp3,"  H e l l o   H e l l o ,   I   a m   S h a l u   f r o m   D e p a r t m e n t   o f   A d m i n i s t r a t i v e   R e f o r m s   a n d   P u b l i c   G r i e v a n c e s .   Y e s ,   t e l l   m e   S i r ,   y o u   h a d   s e r v e d   a   g r i e v a n c e   o n   C P  G R A M   p o r t a l .   S i r ,   y o u   h a v e   b e e n   c a l l e d   f o r   t h e   g r i e v a n c e   n u m b e r   0 0 3 5 2 6 9   i n   t h e   s u b j e c t .   Y o u   a r e   M r .   P r a m i l a   H u m t a ,   r i g h t ?   Y e s ,   I   a m .   T h a n k   y o u ."
377-2.mp3,"  S i r ,   y o u   h a v e   b e e n   g i v e n   a   r e p l y .   I t   i s   p o s s i b l e   t h a t   y o u   h a v e   n o t   c h e c k e d   i t   y e t .   I   w i l l   t e l l   y o u   w h a t   t h e   r e p l y   h a s   b e e n   g i v e n   t o   y o u .   S i r ,   t h e   r e p l y   h a s   b e e n   g i v e n   t o   y o u   a s   f o l l o w s .   B a s e d   o n   t h e   d o c u m e n t s   g i v e n   b e l o w   t h e   A O ,   a n d   r a i s e d   h e a d s   C P   G R A M    P o r t a l   a n d   P r a d h a n   C C  I C ,   B i h a r   a n d   J h a r k h a n d ."
377-3.mp3,"  T h e   r e p o r t   s t a t e s   t h a t   t h e   J A O   a n d   J I T   a r e   s h o w i n g   a   d e c r e a s e   o f   1 0 A B P G  0 7 6 0 .   T h i s   i s   w h y   t h e   c o m p l a i n t   i s   c o n s i d e r e d   t o   b e   a   f a l s e   c o m p l a i n t .   K e e p i n g   i n   m i n d   t h e   a b o v e ,   t h e   C P   G r a m   p o r t a l   i s   b e i n g   b a n n e d ."
377-4.mp3,"  S i r ,   y o u   h a v e   t o   k n o w   w h e t h e r   y o u   a r e   s a t i s f i e d   w i t h   t h i s   r e p l y   o r   n o t   s a t i s f i e d   o r   p a r t i a l l y   s a t i s f i e d .   N o ,   I   a m   n o t   s a t i s f i e d .   N o t   s a t i s f i e d ?   S a t i s f i e d .   O k a y   s i r ,   s a t i s f i e d .   W h a t   w o u l d   b e   y o u r   r a t i n g   f o r   s a t i s f a c t i o n ?   G o o d ,   v e r y   g o o d   o r   e x c e l l e n t ?   E x c e l l e n t .   E x c e l l e n t .   O k a y   s i r ,   t h a n k   y o u   v e r y   m u c h   f o r   g i v i n g   s u c h   a   g o o d   r a t i n g .   W e   w i l l   t r y   o u r   b e s t .   I n   t h e   c o m i n g   m o n t h s   a l s o ,   w e   w i l l   w o r k   w i t h   a l l   y o u r   c r e d i t o r s"
377-5.mp3,"B u t  s i r,  b e f o r e  t h a t , w o u l d  y o u  l i k e   t o  g i v e  a n y  s u g g e s t i o n  t o  o u r  d e p a r t m e n t , i t  i s  o k a y. Y o u r  f e e d b a c k   h a s   b e e n  m e n ti o n e d . T h a n k y o u  v e r y  m u c h  f o r  g i v i  n g  y o u r  p r e c i o u s   t i m e . H a v e  a  n i c e  d a y "
378-1.mp3,"  H e l l o ,   I   a m  S a v i t a  t a l k i n g   f r o m   t h e   D e p a r t m e n t   o f  A d m i n i s t r a t i v e   R e f o r m s   a n d   P u b l i c   G r i e v a n c e s .   M y   q u e s t i o n   i s   f o r   M r .   A n k i t   K u m a r .   Y e s .   S i r  w e a r e   c a l l i n g   t o   k n o w   y o u r   l e v e l   o f   s a t i s f a c t i o n   r e g a r d i n g   y o u r    G r i e v a n c e    N o .   0 6 5 4 5 .   I t   w i l l   t a k e   2   m i n u t e s   i n   t h e   s u r v e y .   I s   i t   t h e   r i g h t   t i m e   t o   t a l k   t o   y o u ?   Y e s .   T h a n k   y o u   s o   m u c h ,   s i r .   W e   w o u l d   l i k e   t o   k n o w   s o m e   q u e s t i o n s   f r o m   y o u   i n   t h i s   s u r v e y .   "
378-5.mp3,  T h a n k   y o u   s o   m u c h   s i r .   D o   y o u   t h i n k   t h a t   t h e   C P  G R A M   i s   h e l p f u l   f o r   y o u ?   Y e s .   D o   y o u   g e t   h e l p   f o r   a n y   o f   y o u r   c o m p l a i n t s ?   Y e s .   T h a n k   y o u   s o   m u c h   s i r .   D o   y o u   w a n t   t o   g i v e   a n y   o t h e r   h e l p   i n   t h e   f u t u r e ?   N o .   I   d o n ' t   w a n t   t o   g i v e   a n y   o t h e r   h e l p .   I   d o n ' t   w a n t   t o   g i v e   a n y   o t h e r   h e l p .   I   d o n ' t   w a n t   t o   g i v e   a n y   o t h e r   h e l p .  
